Survey Years,Sex,Age Group,Race and Hispanic Origin,Nutrient,Mean,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Note1,Note2,Notea,Noteb
2003-2004,All,5-Feb,All,Saturated Fat,23.1,0.8,21.6,24.6,,,,
2003-2004,All,11-Jun,All,Saturated Fat,27.6,0.9,25.9,29.3,,,,
2003-2004,All,19-Dec,All,Saturated Fat,29.8,0.7,28.5,31.1,,,,
2003-2004,All,20 and over,All,Saturated Fat,27.7,0.3,27,28.3,,,,
2003-2004,All,20 and over,Non-Hispanic White,Saturated Fat,28.4,0.4,27.7,29.2,,,,
2003-2004,All,20 and over,Non-Hispanic Black,Saturated Fat,25.9,0.8,24.3,27.6,,,,
2003-2004,All,20 and over,Non-Hispanic Asian,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,20 and over,Hispanic,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,20 and over,Mexican American,Saturated Fat,28.2,1.1,26.1,30.4,,,,
2003-2004,All,20-29,All,Saturated Fat,31.3,1,29.3,33.3,,,,
2003-2004,All,30-39,All,Saturated Fat,29.6,0.8,28.1,31.2,,,,
2003-2004,All,40-49,All,Saturated Fat,29.9,0.9,28.1,31.7,,,,
2003-2004,All,50-59,All,Saturated Fat,26.5,0.9,24.7,28.4,,,,
2003-2004,All,60-69,All,Saturated Fat,23.5,0.7,22.1,24.9,,,,
2003-2004,All,70 and over,All,Saturated Fat,20.7,0.5,19.8,21.7,,,,
2003-2004,Female,19-Feb,All,Saturated Fat,25.6,0.6,24.5,26.8,,,,
2003-2004,Female,5-Feb,All,Saturated Fat,23.9,1,22,25.9,,,,
2003-2004,Female,11-Jun,All,Saturated Fat,25.7,0.9,23.8,27.5,,,,
2003-2004,Female,19-Dec,All,Saturated Fat,25.6,0.6,24.5,26.8,,,,
2003-2004,Female,20 and over,All,Saturated Fat,23.3,0.3,22.7,24,,,,
2003-2004,Female,20-29,All,Saturated Fat,25.5,1.3,23,28.1,,,,
2003-2004,Female,30-39,All,Saturated Fat,25.7,0.9,24,27.4,,,,
2003-2004,Female,40-49,All,Saturated Fat,24.5,1,22.6,26.3,,,,
2003-2004,Female,50-59,All,Saturated Fat,22.6,1.4,19.9,25.3,,,,
2003-2004,Female,60-69,All,Saturated Fat,20.6,0.8,19,22.2,,,,
2003-2004,Female,70 and over,All,Saturated Fat,18.7,0.7,17.4,20,,,,
2003-2004,Male,19-Feb,All,Saturated Fat,33.7,1.1,31.5,35.9,,,,
2003-2004,Male,5-Feb,All,Saturated Fat,22.3,0.8,20.7,23.9,,,,
2003-2004,Male,11-Jun,All,Saturated Fat,29.4,1,27.4,31.4,,,,
2003-2004,Male,19-Dec,All,Saturated Fat,33.7,1.1,31.5,35.9,,,,
2003-2004,Male,20 and over,All,Saturated Fat,32.3,0.5,31.4,33.2,,,,
2003-2004,Male,20-29,All,Saturated Fat,36.9,1.4,34,39.7,,,,
2003-2004,Male,30-39,All,Saturated Fat,34,1.3,31.4,36.6,,,,
2003-2004,Male,40-49,All,Saturated Fat,35.6,1,33.7,37.5,,,,
2003-2004,Male,50-59,All,Saturated Fat,30.6,1.1,28.4,32.7,,,,
2003-2004,Male,60-69,All,Saturated Fat,26.9,1,25,28.7,,,,
2003-2004,Male,70 and over,All,Saturated Fat,23.5,0.8,21.9,25,,,,
2003-2004,All,19-Feb,All,Sodium,"3,558.30",95.2,"3,370.20","3,746.40",,,,
2003-2004,All,19-Feb,Non-Hispanic White,Sodium,"3,606.80",124.7,"3,360.60","3,853.10",,,,
2003-2004,All,19-Feb,Non-Hispanic Black,Sodium,"3,477.90",120.1,"3,240.60","3,715.10",,,,
2003-2004,All,19-Feb,Non-Hispanic Asian,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,19-Feb,Hispanic,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,19-Feb,Mexican American,Sodium,"3,477.00",126.4,"3,227.30","3,726.60",,,,
2003-2004,All,5-Feb,All,Sodium,"2,517.60",46,"2,426.70","2,608.50",,,,
2003-2004,All,11-Jun,All,Sodium,"3,170.10",67.6,"3,036.70","3,303.60",,,,
2003-2004,All,19-Dec,All,Sodium,"3,558.30",95.2,"3,370.20","3,746.40",,,,
2003-2004,All,20 and over,All,Sodium,"3,477.60",33.1,"3,412.30","3,543.00",,,,
2003-2004,All,20 and over,Non-Hispanic White,Sodium,"3,529.60",41.8,"3,447.00","3,612.30",,,,
2003-2004,All,20 and over,Non-Hispanic Black,Sodium,"3,193.70",109.7,"2,977.00","3,410.50",,,,
2003-2004,All,20 and over,Non-Hispanic Asian,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,20 and over,Hispanic,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,20 and over,Mexican American,Sodium,"3,575.90",102.8,"3,372.80","3,779.00",,,,
2003-2004,All,20-29,All,Sodium,"3,887.90",98.2,"3,693.80","4,081.90",,,,
2003-2004,All,30-39,All,Sodium,"3,809.30",105.8,"3,600.20","4,018.40",,,,
2003-2004,All,40-49,All,Sodium,"3,606.70",77.8,"3,453.10","3,760.30",,,,
2003-2004,All,50-59,All,Sodium,"3,337.40",98.6,"3,142.70","3,532.20",,,,
2003-2004,All,60-69,All,Sodium,"3,090.70",79.8,"2,933.00","3,248.40",,,,
2003-2004,All,70 and over,All,Sodium,"2,663.30",54.3,"2,556.10","2,770.50",,,,
2003-2004,Female,19-Feb,All,Sodium,"3,020.30",71.4,"2,879.20","3,161.40",,,,
2003-2004,Female,5-Feb,All,Sodium,"2,631.10",83.2,"2,466.90","2,795.40",,,,
2003-2004,Female,11-Jun,All,Sodium,"3,017.00",97.9,"2,823.70","3,210.40",,,,
2003-2004,Female,19-Dec,All,Sodium,"3,020.30",71.4,"2,879.20","3,161.40",,,,
2003-2004,Female,20 and over,All,Sodium,"2,911.20",38.1,"2,835.90","2,986.50",,,,
2003-2004,Female,20-29,All,Sodium,"3,183.80",133.5,"2,920.10","3,447.50",,,,
2003-2004,Female,30-39,All,Sodium,"3,143.20",74.2,"2,996.70","3,289.70",,,,
2003-2004,Female,40-49,All,Sodium,"2,929.20",101.7,"2,728.30","3,130.10",,,,
2003-2004,Female,50-59,All,Sodium,"2,793.30",119.8,"2,556.70","3,029.90",,,,
2003-2004,Female,60-69,All,Sodium,"2,752.70",91.3,"2,572.30","2,933.00",,,,
2003-2004,Female,70 and over,All,Sodium,"2,468.10",66.4,"2,337.00","2,599.10",,,,
2003-2004,Male,19-Feb,All,Sodium,"4,059.10",151.1,"3,760.60","4,357.60",,,,
2003-2004,Male,5-Feb,All,Sodium,"2,408.70",39.5,"2,330.70","2,486.70",,,,
2003-2004,Male,11-Jun,All,Sodium,"3,313.00",59.2,"3,196.00","3,430.00",,,,
2003-2004,Male,19-Dec,All,Sodium,"4,059.10",151.1,"3,760.60","4,357.60",,,,
2003-2004,Male,20 and over,All,Sodium,"4,089.70",53,"3,985.00","4,194.50",,,,
2003-2004,Male,20-29,All,Sodium,"4,560.30",166.9,"4,230.60","4,890.10",,,,
2003-2004,Male,30-39,All,Sodium,"4,552.10",173.4,"4,209.50","4,894.70",,,,
2003-2004,Male,40-49,All,Sodium,"4,312.90",83.5,"4,148.00","4,477.70",,,,
2003-2004,Male,50-59,All,Sodium,"3,895.10",126.7,"3,644.80","4,145.30",,,,
2003-2004,Male,60-69,All,Sodium,"3,477.50",112.7,"3,254.80","3,700.10",,,,
2003-2004,Male,70 and over,All,Sodium,"2,929.10",86.1,"2,759.10","3,099.20",,,,
2003-2004,All,19-Feb,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,19-Feb,Non-Hispanic White,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,19-Feb,Non-Hispanic Black,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,19-Feb,Non-Hispanic Asian,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data for vitamin D intake are only available from 2007-2008 onward.,*,†
2003-2004,All,19-Feb,Hispanic,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data for vitamin D intake are only available from 2007-2008 onward.,*,†
2003-2004,All,19-Feb,Mexican American,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,5-Feb,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,11-Jun,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,19-Dec,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,20 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,20 and over,Non-Hispanic White,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,20 and over,Non-Hispanic Black,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,20 and over,Non-Hispanic Asian,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data for vitamin D intake are only available from 2007-2008 onward.,*,†
2003-2004,All,20 and over,Hispanic,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data for vitamin D intake are only available from 2007-2008 onward.,*,†
2003-2004,All,20 and over,Mexican American,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,20-29,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,30-39,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,40-49,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,50-59,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,60-69,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,70 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,19-Feb,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,5-Feb,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,11-Jun,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,19-Dec,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,20 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,20-29,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,30-39,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,40-49,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,50-59,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,60-69,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,70 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,19-Feb,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,5-Feb,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,11-Jun,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,19-Dec,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,20 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,20-29,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,30-39,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,40-49,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,50-59,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,60-69,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,70 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2005-2006,All,19-Feb,All,Calcium,"1,025.10",31.9,"1,088.10",962,,,,
2005-2006,All,19-Feb,Non-Hispanic White,Calcium,"1,108.50",45.9,"1,199.20","1,017.90",,,,
2005-2006,All,19-Feb,Non-Hispanic Black,Calcium,844.1,35.1,913.5,774.6,,,,
2005-2006,All,19-Feb,Non-Hispanic Asian,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,19-Feb,Hispanic,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,19-Feb,Mexican American,Calcium,986.2,27.3,"1,040.10",932.3,,,,
2005-2006,All,5-Feb,All,Calcium,904.2,24.5,855.7,952.7,,,,
2005-2006,All,11-Jun,All,Calcium,"1,012.30",28.4,956.2,"1,068.40",,,,
2005-2006,All,19-Dec,All,Calcium,"1,025.10",31.9,962,"1,088.10",,,,
2005-2006,All,20 and over,All,Calcium,960.9,19.6,999.7,922.2,,,,
2005-2006,All,20 and over,Non-Hispanic White,Calcium,"1,006.20",23.5,"1,052.70",959.7,,,,
2005-2006,All,20 and over,Non-Hispanic Black,Calcium,787.8,22.9,833,742.6,,,,
2005-2006,All,20 and over,Non-Hispanic Asian,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Hispanic,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Mexican American,Calcium,920.1,20.1,959.9,880.3,,,,
2005-2006,All,20-29,All,Calcium,"1,017.70",31.8,954.9,"1,080.40",,,,
2005-2006,All,30-39,All,Calcium,"1,064.30",33.1,999,"1,129.60",,,,
2005-2006,All,40-49,All,Calcium,"1,006.00",29.2,948.2,"1,063.80",,,,
2005-2006,All,50-59,All,Calcium,909.3,34.6,840.9,977.6,,,,
2005-2006,All,60-69,All,Calcium,866.7,34,799.5,933.9,,,,
2005-2006,All,70 and over,All,Calcium,805.5,24.6,757,854.1,,,,
2005-2006,Female,19-Feb,All,Calcium,848.8,40.5,928.8,768.8,,,,
2005-2006,Female,5-Feb,All,Calcium,853.1,34.1,785.7,920.4,,,,
2005-2006,Female,11-Jun,All,Calcium,946,50.2,846.8,"1,045.20",,,,
2005-2006,Female,19-Dec,All,Calcium,848.8,40.5,768.8,928.8,,,,
2005-2006,Female,20 and over,All,Calcium,857.8,22.1,901.5,814.1,,,,
2005-2006,Female,20-29,All,Calcium,933.4,49.4,835.8,"1,030.90",,,,
2005-2006,Female,30-39,All,Calcium,895.8,44.6,807.7,983.8,,,,
2005-2006,Female,40-49,All,Calcium,922.9,27,869.6,976.3,,,,
2005-2006,Female,50-59,All,Calcium,799.5,40,720.5,878.5,,,,
2005-2006,Female,60-69,All,Calcium,783.3,34.4,715.3,851.3,,,,
2005-2006,Female,70 and over,All,Calcium,752,28.7,695.4,808.7,,,,
2005-2006,Male,19-Feb,All,Calcium,"1,186.50",45.5,"1,276.40","1,096.50",,,,
2005-2006,Male,5-Feb,All,Calcium,955.4,28.2,899.7,"1,011.10",,,,
2005-2006,Male,11-Jun,All,Calcium,"1,079.00",29.1,"1,021.50","1,136.60",,,,
2005-2006,Male,19-Dec,All,Calcium,"1,186.50",45.5,"1,096.50","1,276.40",,,,
2005-2006,Male,20 and over,All,Calcium,"1,072.60",22.6,"1,117.10","1,028.00",,,,
2005-2006,Male,20-29,All,Calcium,"1,102.70",41.7,"1,020.20","1,185.10",,,,
2005-2006,Male,30-39,All,Calcium,"1,227.10",50.9,"1,126.60","1,327.60",,,,
2005-2006,Male,40-49,All,Calcium,"1,099.10",41.2,"1,017.70","1,180.60",,,,
2005-2006,Male,50-59,All,Calcium,"1,020.40",35.9,949.5,"1,091.30",,,,
2005-2006,Male,60-69,All,Calcium,963.4,45.5,873.6,"1,053.20",,,,
2005-2006,Male,70 and over,All,Calcium,881.1,27.2,827.3,934.8,,,,
2005-2006,All,19-Feb,All,Dietary Fiber,13.9,0.3,14.4,13.3,,,,
2005-2006,All,19-Feb,Non-Hispanic White,Dietary Fiber,14.1,0.4,14.9,13.4,,,,
2005-2006,All,19-Feb,Non-Hispanic Black,Dietary Fiber,11.9,0.5,12.8,10.9,,,,
2005-2006,All,19-Feb,Non-Hispanic Asian,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,19-Feb,Hispanic,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,19-Feb,Mexican American,Dietary Fiber,15.8,0.5,16.8,14.9,,,,
2005-2006,All,5-Feb,All,Dietary Fiber,10.7,0.3,10.1,11.3,,,,
2005-2006,All,11-Jun,All,Dietary Fiber,13,0.4,12.3,13.8,,,,
2005-2006,All,19-Dec,All,Dietary Fiber,13.9,0.3,13.3,14.4,,,,
2005-2006,All,20 and over,All,Dietary Fiber,15.9,0.3,16.5,15.3,,,,
2005-2006,All,20 and over,Non-Hispanic White,Dietary Fiber,16.1,0.4,16.8,15.4,,,,
2005-2006,All,20 and over,Non-Hispanic Black,Dietary Fiber,13.2,0.4,13.9,12.5,,,,
2005-2006,All,20 and over,Non-Hispanic Asian,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Hispanic,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Mexican American,Dietary Fiber,19.1,0.6,20.3,17.9,,,,
2005-2006,All,20-29,All,Dietary Fiber,14.7,0.5,13.7,15.7,,,,
2005-2006,All,30-39,All,Dietary Fiber,16.8,0.6,15.5,18,,,,
2005-2006,All,40-49,All,Dietary Fiber,16.2,0.6,15,17.3,,,,
2005-2006,All,50-59,All,Dietary Fiber,16.6,0.6,15.3,17.9,,,,
2005-2006,All,60-69,All,Dietary Fiber,15.8,0.5,14.8,16.7,,,,
2005-2006,All,70 and over,All,Dietary Fiber,14.9,0.5,13.9,16,,,,
2005-2006,Female,19-Feb,All,Dietary Fiber,12.4,0.5,13.3,11.4,,,,
2005-2006,Female,5-Feb,All,Dietary Fiber,10.4,0.5,9.5,11.4,,,,
2005-2006,Female,11-Jun,All,Dietary Fiber,12,0.4,11.2,12.7,,,,
2005-2006,Female,19-Dec,All,Dietary Fiber,12.4,0.5,11.4,13.3,,,,
2005-2006,Female,20 and over,All,Dietary Fiber,14.1,0.3,14.8,13.4,,,,
2005-2006,Female,20-29,All,Dietary Fiber,12.9,0.7,11.4,14.4,,,,
2005-2006,Female,30-39,All,Dietary Fiber,14.6,0.7,13.3,15.9,,,,
2005-2006,Female,40-49,All,Dietary Fiber,14.4,0.6,13.2,15.6,,,,
2005-2006,Female,50-59,All,Dietary Fiber,14.9,0.7,13.4,16.3,,,,
2005-2006,Female,60-69,All,Dietary Fiber,14.3,0.5,13.3,15.4,,,,
2005-2006,Female,70 and over,All,Dietary Fiber,13.6,0.7,12.3,14.9,,,,
2005-2006,Male,19-Feb,All,Dietary Fiber,15.2,0.4,16,14.4,,,,
2005-2006,Male,5-Feb,All,Dietary Fiber,11,0.5,10.1,11.9,,,,
2005-2006,Male,11-Jun,All,Dietary Fiber,14.1,0.5,13.1,15,,,,
2005-2006,Male,19-Dec,All,Dietary Fiber,15.2,0.4,14.4,16,,,,
2005-2006,Male,20 and over,All,Dietary Fiber,17.8,0.4,18.6,17.1,,,,
2005-2006,Male,20-29,All,Dietary Fiber,16.6,0.7,15.3,17.9,,,,
2005-2006,Male,30-39,All,Dietary Fiber,18.9,0.9,17,20.7,,,,
2005-2006,Male,40-49,All,Dietary Fiber,18.2,0.8,16.5,19.8,,,,
2005-2006,Male,50-59,All,Dietary Fiber,18.3,0.8,16.7,20,,,,
2005-2006,Male,60-69,All,Dietary Fiber,17.5,0.6,16.3,18.7,,,,
2005-2006,Male,70 and over,All,Dietary Fiber,16.8,0.6,15.6,17.9,,,,
2005-2006,All,19-Feb,All,Iron,16.6,0.3,17.2,16,,,,
2005-2006,All,19-Feb,Non-Hispanic White,Iron,17.3,0.5,18.2,16.4,,,,
2005-2006,All,19-Feb,Non-Hispanic Black,Iron,15,0.6,16.2,13.7,,,,
2005-2006,All,19-Feb,Non-Hispanic Asian,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,19-Feb,Hispanic,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,19-Feb,Mexican American,Iron,16.4,0.6,17.5,15.4,,,,
2005-2006,All,5-Feb,All,Iron,12.3,0.4,11.5,13.1,,,,
2005-2006,All,11-Jun,All,Iron,14.6,0.3,14,15.3,,,,
2005-2006,All,19-Dec,All,Iron,16.6,0.3,16,17.2,,,,
2005-2006,All,20 and over,All,Iron,16.2,0.2,16.6,15.8,,,,
2005-2006,All,20 and over,Non-Hispanic White,Iron,16.6,0.3,17.2,16.1,,,,
2005-2006,All,20 and over,Non-Hispanic Black,Iron,14.6,0.3,15.1,14.1,,,,
2005-2006,All,20 and over,Non-Hispanic Asian,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Hispanic,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Mexican American,Iron,15.8,0.4,16.6,14.9,,,,
2005-2006,All,20-29,All,Iron,16.9,0.4,16,17.7,,,,
2005-2006,All,30-39,All,Iron,17.7,0.6,16.5,18.9,,,,
2005-2006,All,40-49,All,Iron,16.3,0.4,15.5,17.1,,,,
2005-2006,All,50-59,All,Iron,15.7,0.6,14.5,16.9,,,,
2005-2006,All,60-69,All,Iron,15.2,0.7,13.9,16.5,,,,
2005-2006,All,70 and over,All,Iron,14.5,0.3,14,15.1,,,,
2005-2006,Female,19-Feb,All,Iron,13.3,0.4,14.1,12.6,,,,
2005-2006,Female,5-Feb,All,Iron,11.6,0.5,10.7,12.5,,,,
2005-2006,Female,11-Jun,All,Iron,13.8,0.7,12.5,15.1,,,,
2005-2006,Female,19-Dec,All,Iron,13.3,0.4,12.6,14.1,,,,
2005-2006,Female,20 and over,All,Iron,13.8,0.2,14.1,13.4,,,,
2005-2006,Female,20-29,All,Iron,14.4,0.5,13.4,15.4,,,,
2005-2006,Female,30-39,All,Iron,14.9,0.6,13.6,16.1,,,,
2005-2006,Female,40-49,All,Iron,13.9,0.5,13,14.8,,,,
2005-2006,Female,50-59,All,Iron,13.2,0.6,12,14.4,,,,
2005-2006,Female,60-69,All,Iron,12.8,0.5,11.7,13.8,,,,
2005-2006,Female,70 and over,All,Iron,12.8,0.5,11.9,13.8,,,,
2005-2006,Male,19-Feb,All,Iron,19.6,0.6,20.7,18.5,,,,
2005-2006,Male,5-Feb,All,Iron,13,0.5,12,14,,,,
2005-2006,Male,11-Jun,All,Iron,15.4,0.3,14.8,16.1,,,,
2005-2006,Male,19-Dec,All,Iron,19.6,0.6,18.5,20.7,,,,
2005-2006,Male,20 and over,All,Iron,18.9,0.3,19.4,18.4,,,,
2005-2006,Male,20-29,All,Iron,19.3,0.7,17.9,20.7,,,,
2005-2006,Male,30-39,All,Iron,20.4,0.9,18.7,22.1,,,,
2005-2006,Male,40-49,All,Iron,19,0.6,17.8,20.3,,,,
2005-2006,Male,50-59,All,Iron,18.2,0.7,16.8,19.6,,,,
2005-2006,Male,60-69,All,Iron,17.9,1,16,19.9,,,,
2005-2006,Male,70 and over,All,Iron,16.9,0.4,16.2,17.7,,,,
2005-2006,All,19-Feb,All,Potassium,"2,220.70",40.8,"2,301.40","2,140.10",,,,
2005-2006,All,19-Feb,Non-Hispanic White,Potassium,"2,456.40",74.4,"2,603.30","2,309.50",,,,
2005-2006,All,19-Feb,Non-Hispanic Black,Potassium,"2,089.40",65.3,"2,218.30","1,960.40",,,,
2005-2006,All,19-Feb,Non-Hispanic Asian,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,19-Feb,Hispanic,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,19-Feb,Mexican American,Potassium,"2,438.70",91.7,"2,619.80","2,257.50",,,,
2005-2006,All,5-Feb,All,Potassium,"2,030.10",41.2,"1,948.80","2,111.40",,,,
2005-2006,All,11-Jun,All,Potassium,"2,136.80",56.3,"2,025.60","2,248.00",,,,
2005-2006,All,19-Dec,All,Potassium,"2,369.40",54.3,"2,262.10","2,476.70",,,,
2005-2006,All,20 and over,All,Potassium,"2,754.30",36.9,"2,827.10","2,681.40",,,,
2005-2006,All,20 and over,Non-Hispanic White,Potassium,"2,831.70",36,"2,902.80","2,760.70",,,,
2005-2006,All,20 and over,Non-Hispanic Black,Potassium,"2,352.10",44.3,"2,439.50","2,264.70",,,,
2005-2006,All,20 and over,Non-Hispanic Asian,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Hispanic,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Mexican American,Potassium,"2,732.50",83,"2,896.60","2,568.50",,,,
2005-2006,All,20-29,All,Potassium,"2,576.40",65.8,"2,446.50","2,706.40",,,,
2005-2006,All,30-39,All,Potassium,"2,923.00",49,"2,826.10","3,019.90",,,,
2005-2006,All,40-49,All,Potassium,"2,852.50",54.4,"2,745.00","2,960.00",,,,
2005-2006,All,50-59,All,Potassium,"2,867.70",91.5,"2,687.00","3,048.50",,,,
2005-2006,All,60-69,All,Potassium,"2,700.70",81.7,"2,539.20","2,862.10",,,,
2005-2006,All,70 and over,All,Potassium,"2,488.20",62.9,"2,363.90","2,612.50",,,,
